Airportname,Year,month,value
Anapa (Vitjazevo),2017,1,40.52
Arkhangelsk (Talagy),2017,1,93.8
Astrakhan (Narimanovo),2017,1,48.55
Novy Urengoy,2017,1,0.0
Blagoveshchensk,2017,1,212.5
Bugulma,2017,1,1.94
Vladivostok (Knevichi),2017,1,1362.31
Volgograd (Gumrak),2017,1,53.0
Vorkuta,2017,1,8.02
Voronezh (Chertovitskoe),2017,1,10.31
Ekaterinburg (Koltsovo),2017,1,1136.49
Ivanovo (Yuzhny),2017,1,0.04
Irkutsk,2017,1,551.61
Kazan,2017,1,135.6
Kemerovo,2017,1,233.61
Kogalym,2017,1,10.0
Komsomolsk-on-Amur,2017,1,152.9
Krasnodar (Paszkowski),2017,1,285.36
Krasnoyarsk (Emelyanovo),2017,1,721.13
red,2017,1,0.59
Zabaykalsk,2017,1,22.71
Magadan (Falcon),2017,1,488.0
Mineral water,2017,1,95.32
Peaceful,2017,1,504.27
Moscow (Vnukovo),2017,1,3194.88
Moscow (Domodedovo),2017,1,7772.66
Moscow (Sheremetyevo),2017,1,18438.6
Murmansk,2017,1,101.2
Nadym,2017,1,21.96
Nizhnevartovsk,2017,1,193.2
Nizhny Novgorod (Strigino),2017,1,49.17
Nikolaevsk-on-Amur,2017,1,4.9
Novokuznetsk,2017,1,62.8
Novosibirsk (Tolmachyovo),2017,1,1212.3
New Urengoy,2017,1,234.4
Norilsk,2017,1,191.46
Noyabrsk,2017,1,30.88
Omsk (central),2017,1,185.0
Orenburg (central),2017,1,65.05
Perm (Bolshoye Savino),2017,1,109.25
Petropavlovsk (Yelizovo),2017,1,410.26
Polar,2017,1,20.49
Rostov-on-Don,2017,1,376.62
Saint Petersburg (Pulkovo),2017,1,1577.0
Saratov (central),2017,1,25.0
Sochi,2017,1,122.19
Stavropol (Shpakovskoye),2017,1,57.0
Surgut,2017,1,186.9
Syktyvkar,2017,1,40.87
Tiksi,2017,1,20.72
Tomsk (Bogashevo),2017,1,105.98
Tyumen (Roschino),2017,1,227.6
Ufa,2017,1,205.75
Khabarovsk (MVL),2017,1,1.1
Khabarovsk (New),2017,1,1393.1
Khanty-Mansiysk,2017,1,29.78
Khatanga,2017,1,100.47
Chelyabinsk (Balandino),2017,1,170.18
Reads (tub),2017,1,195.37
Yuzhno-(Khomutovo),2017,1,540.76
Yakutsk,2017,1,494.19
Yamburg,2017,1,0.06
Yaroslavl (Tunoshna),2017,1,106.21
Abakan,2016,1,34.1
Anapa (Vitjazevo),2016,1,26.19
Arkhangelsk (Talagy),2016,1,86.8
Astrakhan (Narimanovo),2016,1,49.87
Novy Urengoy,2016,1,8.4
Blagoveshchensk,2016,1,149.1
Bugulma,2016,1,1.59
Vladivostok (Knevichi),2016,1,1173.5
Volgograd (Gumrak),2016,1,46.0
Vorkuta,2016,1,68.13
Voronezh (Chertovitskoe),2016,1,53.16
Ekaterinburg (Koltsovo),2016,1,1275.28
Ivanovo (Yuzhny),2016,1,41.97
Irkutsk,2016,1,371.0
Kazan,2016,1,145.11
Kemerovo,2016,1,275.24
Kogalym,2016,1,17.85
Komsomolsk-on-Amur,2016,1,200.8
Krasnodar (Paszkowski),2016,1,272.74
Krasnoyarsk (Emelyanovo),2016,1,634.82
red,2016,1,0.22
Zabaykalsk,2016,1,19.74
Magadan (Falcon),2016,1,406.0
Mineral water,2016,1,83.8
Peaceful,2016,1,425.99
Moscow (Vnukovo),2016,1,1614.64
Moscow (Domodedovo),2016,1,6866.9
Moscow (Sheremetyevo),2016,1,13905.9
Murmansk,2016,1,70.2
Nadym,2016,1,15.72
Nizhnevartovsk,2016,1,178.7
Nizhny Novgorod (Strigino),2016,1,72.22
Nikolaevsk-on-Amur,2016,1,9.98
Novokuznetsk,2016,1,46.9
Novosibirsk (Tolmachyovo),2016,1,1005.3
New Urengoy,2016,1,256.9
Norilsk,2016,1,676.5
Noyabrsk,2016,1,28.67
Omsk (central),2016,1,147.0
Orenburg (central),2016,1,56.63
Perm (Bolshoye Savino),2016,1,97.95
Petropavlovsk (Yelizovo),2016,1,368.38
Polar,2016,1,12.9
Rostov-on-Don,2016,1,235.97
Saint Petersburg (Pulkovo),2016,1,1222.0
Saratov (central),2016,1,20.0
Sochi,2016,1,116.08
Stavropol (Shpakovskoye),2016,1,37.0
Surgut,2016,1,192.8
Syktyvkar,2016,1,38.83
Tiksi,2016,1,0.7
Tomsk (Bogashevo),2016,1,81.74
Tyumen (Roschino),2016,1,203.7
Ufa,2016,1,181.59
Khabarovsk (MVL),2016,1,0.2
Khabarovsk (New),2016,1,1188.1
Khanty-Mansiysk,2016,1,23.33
Khatanga,2016,1,150.51
Chelyabinsk (Balandino),2016,1,159.0
Reads (tub),2016,1,141.03
Yuzhno-(Khomutovo),2016,1,559.97
Yakutsk,2016,1,431.34
Yamburg,2016,1,0.45
Yaroslavl (Tunoshna),2016,1,288.54
Abakan,2015,1,37.7
Anapa (Vitjazevo),2015,1,26.6
Arkhangelsk (Talagy),2015,1,99.6
Astrakhan (Narimanovo),2015,1,49.75
Novy Urengoy,2015,1,8.8
Blagoveshchensk,2015,1,152.4
Bugulma,2015,1,0.47
Vladivostok (Knevichi),2015,1,1430.2
Volgograd (Gumrak),2015,1,55.0
Vorkuta,2015,1,44.7
Voronezh (Chertovitskoe),2015,1,7.09
Ekaterinburg (Koltsovo),2015,1,1124.32
Ivanovo (Yuzhny),2015,1,117.24
Irkutsk,2015,1,447.1
Kazan,2015,1,145.29
Kemerovo,2015,1,235.58
Kogalym,2015,1,1.0
Komsomolsk-on-Amur,2015,1,111.8
Krasnodar (Paszkowski),2015,1,313.01
Krasnoyarsk (Emelyanovo),2015,1,710.3
red,2015,1,0.78
Zabaykalsk,2015,1,22.31
Magadan (Falcon),2015,1,414.0
Mineral water,2015,1,98.7
Peaceful,2015,1,492.18
Moscow (Vnukovo),2015,1,1921.84
Moscow (Domodedovo),2015,1,7736.75
Moscow (Sheremetyevo),2015,1,10428.9
Murmansk,2015,1,82.3
Nadym,2015,1,21.32
Nizhnevartovsk,2015,1,185.6
Nizhny Novgorod (Strigino),2015,1,42.86
Nikolaevsk-on-Amur,2015,1,7.19
Novokuznetsk,2015,1,64.0
Novosibirsk (Tolmachyovo),2015,1,1395.7
New Urengoy,2015,1,151.7
Norilsk,2015,1,654.73
Noyabrsk,2015,1,38.11
Omsk (central),2015,1,158.0
Orenburg (central),2015,1,68.9
Perm (Bolshoye Savino),2015,1,119.05
Petropavlovsk (Yelizovo),2015,1,420.71
Polar,2015,1,39.16
Rostov-on-Don,2015,1,256.3
Saint Petersburg (Pulkovo),2015,1,1204.0
Saratov (central),2015,1,29.5
Sochi,2015,1,94.84
Stavropol (Shpakovskoye),2015,1,49.0
Surgut,2015,1,237.6
Syktyvkar,2015,1,40.99
Tiksi,2015,1,12.7
Tomsk (Bogashevo),2015,1,86.98
Tyumen (Roschino),2015,1,246.9
Ufa,2015,1,187.27
Khabarovsk (MVL),2015,1,0.1
Khabarovsk (New),2015,1,1254.63
Khanty-Mansiysk,2015,1,37.41
Khatanga,2015,1,102.83
Chelyabinsk (Balandino),2015,1,205.54
Reads (tub),2015,1,113.53
Yuzhno-(Khomutovo),2015,1,560.52
Yakutsk,2015,1,522.38
Yamburg,2015,1,0.69
Yaroslavl (Tunoshna),2015,1,335.48
Abakan,2014,1,51.9
Anapa (Vitjazevo),2014,1,30.68
Arkhangelsk (Talagy),2014,1,177.8
Astrakhan (Narimanovo),2014,1,62.69
Novy Urengoy,2014,1,10.3
Blagoveshchensk,2014,1,161.6
Bugulma,2014,1,2.32
Vladivostok (Knevichi),2014,1,1726.6
Volgograd (Gumrak),2014,1,57.0
Vorkuta,2014,1,56.31
Voronezh (Chertovitskoe),2014,1,8.84
Ekaterinburg (Koltsovo),2014,1,1465.47
Ivanovo (Yuzhny),2014,1,25.3
Irkutsk,2014,1,613.1
Kazan,2014,1,268.83
Kemerovo,2014,1,224.75
Kogalym,2014,1,0.9
Komsomolsk-on-Amur,2014,1,101.38
Krasnodar (Paszkowski),2014,1,387.21
Krasnoyarsk (Emelyanovo),2014,1,914.94
red,2014,1,4.93
Zabaykalsk,2014,1,22.68
Magadan (Falcon),2014,1,397.0
Mineral water,2014,1,89.7
Peaceful,2014,1,472.88
Moscow (Vnukovo),2014,1,2322.99
Moscow (Domodedovo),2014,1,10150.91
Moscow (Sheremetyevo),2014,1,13927.7
Murmansk,2014,1,117.7
Nadym,2014,1,30.73
Nizhnevartovsk,2014,1,294.0
Nizhny Novgorod (Strigino),2014,1,66.16
Nikolaevsk-on-Amur,2014,1,5.73
Novokuznetsk,2014,1,71.0
Novosibirsk (Tolmachyovo),2014,1,1564.6
New Urengoy,2014,1,164.2
Norilsk,2014,1,787.45
Noyabrsk,2014,1,43.65
Omsk (central),2014,1,190.0
Orenburg (central),2014,1,81.73
Perm (Bolshoye Savino),2014,1,182.69
Petropavlovsk (Yelizovo),2014,1,457.52
Polar,2014,1,69.78
Rostov-on-Don,2014,1,335.0
Saint Petersburg (Pulkovo),2014,1,1679.0
Saratov (central),2014,1,42.9
Sochi,2014,1,805.86
Stavropol (Shpakovskoye),2014,1,73.0
Surgut,2014,1,307.8
Syktyvkar,2014,1,58.36
Tiksi,2014,1,106.4
Tomsk (Bogashevo),2014,1,114.0
Tyumen (Roschino),2014,1,324.1
Ufa,2014,1,241.69
Khabarovsk (MVL),2014,1,3.98
Khabarovsk (New),2014,1,1850.76
Khanty-Mansiysk,2014,1,45.72
Khatanga,2014,1,116.43
Chelyabinsk (Balandino),2014,1,187.75
Reads (tub),2014,1,127.26
Yuzhno-(Khomutovo),2014,1,519.7
Yakutsk,2014,1,670.27
Yamburg,2014,1,1.51
Yaroslavl (Tunoshna),2014,1,528.77
Abakan,2013,1,39.74
Anapa (Vitjazevo),2013,1,19.65
Arkhangelsk (Talagy),2013,1,167.4
Astrakhan (Narimanovo),2013,1,50.74
Novy Urengoy,2013,1,13.4
Blagoveshchensk,2013,1,139.4
Bugulma,2013,1,4.1
Vladivostok (Knevichi),2013,1,2009.4
Volgograd (Gumrak),2013,1,45.0
Vorkuta,2013,1,45.92
Voronezh (Chertovitskoe),2013,1,8.27
Ekaterinburg (Koltsovo),2013,1,1472.63
Ivanovo (Yuzhny),2013,1,50.41
Irkutsk,2013,1,704.72
Kazan,2013,1,302.14
Kemerovo,2013,1,239.56
Kogalym,2013,1,56.8
Komsomolsk-on-Amur,2013,1,192.76
Krasnodar (Paszkowski),2013,1,383.62
Krasnoyarsk (Emelyanovo),2013,1,1049.8
red,2013,1,4.64
Zabaykalsk,2013,1,13.28
Magadan (Falcon),2013,1,516.0
Mineral water,2013,1,144.0
Peaceful,2013,1,588.54
Moscow (Vnukovo),2013,1,2488.53
Moscow (Domodedovo),2013,1,10029.96
Moscow (Sheremetyevo),2013,1,13905.0
Murmansk,2013,1,102.7
Nadym,2013,1,39.73
Nizhnevartovsk,2013,1,441.8
Nizhny Novgorod (Strigino),2013,1,49.85
Nikolaevsk-on-Amur,2013,1,9.61
Novokuznetsk,2013,1,79.0
Novosibirsk (Tolmachyovo),2013,1,1534.7
New Urengoy,2013,1,184.3
Norilsk,2013,1,1128.5
Noyabrsk,2013,1,43.26
Omsk (central),2013,1,168.0
Orenburg (central),2013,1,65.82
Perm (Bolshoye Savino),2013,1,134.99
Petropavlovsk (Yelizovo),2013,1,529.27
Polar,2013,1,45.11
Rostov-on-Don,2013,1,412.5
Saint Petersburg (Pulkovo),2013,1,1508.0
Saratov (central),2013,1,37.3
Sochi,2013,1,179.0
Stavropol (Shpakovskoye),2013,1,60.0
Surgut,2013,1,278.5
Syktyvkar,2013,1,64.46
Tiksi,2013,1,19.3
Tomsk (Bogashevo),2013,1,104.0
Tyumen (Roschino),2013,1,320.8
Ufa,2013,1,199.41
Khabarovsk (MVL),2013,1,7.19
Khabarovsk (New),2013,1,1371.81
Khanty-Mansiysk,2013,1,46.03
Khatanga,2013,1,104.76
Chelyabinsk (Balandino),2013,1,176.84
Reads (tub),2013,1,122.56
Yuzhno-(Khomutovo),2013,1,566.6
Yakutsk,2013,1,583.33
Yamburg,2013,1,2.35
Yaroslavl (Tunoshna),2013,1,746.4
Abakan,2012,1,39.24
Anapa (Vitjazevo),2012,1,20.55
Arkhangelsk (Talagy),2012,1,175.0
Astrakhan (Narimanovo),2012,1,39.74
Novy Urengoy,2012,1,13.9
Blagoveshchensk,2012,1,107.9
Bugulma,2012,1,2.81
Vladivostok (Knevichi),2012,1,1396.0
Volgograd (Gumrak),2012,1,40.0
Vorkuta,2012,1,36.38
Voronezh (Chertovitskoe),2012,1,15.21
Ekaterinburg (Koltsovo),2012,1,1365.5
Ivanovo (Yuzhny),2012,1,26.0
Irkutsk,2012,1,698.84
Kazan,2012,1,116.91
Kemerovo,2012,1,212.71
Kogalym,2012,1,2.5
Komsomolsk-on-Amur,2012,1,0.0
Krasnodar (Paszkowski),2012,1,422.19
Krasnoyarsk (Emelyanovo),2012,1,867.34
red,2012,1,0.79
Zabaykalsk,2012,1,24.62
Magadan (Falcon),2012,1,333.0
Mineral water,2012,1,159.0
Peaceful,2012,1,638.88
Moscow (Vnukovo),2012,1,2002.91
Moscow (Domodedovo),2012,1,8669.56
Moscow (Sheremetyevo),2012,1,16632.7
Murmansk,2012,1,85.9
Nadym,2012,1,37.51
Nizhnevartovsk,2012,1,294.2
Nizhny Novgorod (Strigino),2012,1,37.92
Nikolaevsk-on-Amur,2012,1,35.04
Novokuznetsk,2012,1,93.0
Novosibirsk (Tolmachyovo),2012,1,1392.4
New Urengoy,2012,1,152.0
Norilsk,2012,1,915.44
Noyabrsk,2012,1,32.6
Omsk (central),2012,1,171.0
Orenburg (central),2012,1,51.03
Perm (Bolshoye Savino),2012,1,141.71
Petropavlovsk (Yelizovo),2012,1,578.49
Polar,2012,1,198.14
Rostov-on-Don,2012,1,254.2
Saint Petersburg (Pulkovo),2012,1,1501.0
Saratov (central),2012,1,32.0
Sochi,2012,1,116.0
Stavropol (Shpakovskoye),2012,1,56.0
Surgut,2012,1,227.1
Syktyvkar,2012,1,55.47
Tiksi,2012,1,8.6
Tomsk (Bogashevo),2012,1,103.0
Tyumen (Roschino),2012,1,332.4
Ufa,2012,1,189.02
Khabarovsk (MVL),2012,1,3.96
Khabarovsk (New),2012,1,1137.9
Khanty-Mansiysk,2012,1,43.28
Khatanga,2012,1,109.83
Chelyabinsk (Balandino),2012,1,160.82
Reads (tub),2012,1,101.08
Yuzhno-(Khomutovo),2012,1,662.0
Yakutsk,2012,1,505.43
Yamburg,2012,1,2.8
Yaroslavl (Tunoshna),2012,1,805.1
Abakan,2011,1,53.3
Anapa (Vitjazevo),2011,1,8.11
Arkhangelsk (Talagy),2011,1,145.7
Astrakhan (Narimanovo),2011,1,39.61
Novy Urengoy,2011,1,15.4
Blagoveshchensk,2011,1,75.0
Bugulma,2011,1,4.13
Vladivostok (Knevichi),2011,1,1491.1
Volgograd (Gumrak),2011,1,40.0
Vorkuta,2011,1,28.04
Voronezh (Chertovitskoe),2011,1,15.63
Ekaterinburg (Koltsovo),2011,1,1373.59
Ivanovo (Yuzhny),2011,1,30.3
Irkutsk,2011,1,724.85
Kazan,2011,1,161.15
Kemerovo,2011,1,235.78
Kogalym,2011,1,86.5
Komsomolsk-on-Amur,2011,1,72.21
Krasnodar (Paszkowski),2011,1,405.1
Krasnoyarsk (Emelyanovo),2011,1,756.49
red,2011,1,0.36
Zabaykalsk,2011,1,21.1
Magadan (Falcon),2011,1,277.0
Mineral water,2011,1,93.0
Peaceful,2011,1,736.4
Moscow (Vnukovo),2011,1,2489.12
Moscow (Domodedovo),2011,1,8337.93
Moscow (Sheremetyevo),2011,1,18835.8
Murmansk,2011,1,75.1
Nadym,2011,1,51.12
Nizhnevartovsk,2011,1,217.7
Nizhny Novgorod (Strigino),2011,1,32.54
Nikolaevsk-on-Amur,2011,1,15.94
Novokuznetsk,2011,1,80.0
Novosibirsk (Tolmachyovo),2011,1,1048.3
New Urengoy,2011,1,121.5
Norilsk,2011,1,996.78
Noyabrsk,2011,1,31.6
Omsk (central),2011,1,160.0
Orenburg (central),2011,1,55.72
Perm (Bolshoye Savino),2011,1,160.69
Petropavlovsk (Yelizovo),2011,1,493.55
Polar,2011,1,11.2
Rostov-on-Don,2011,1,228.9
Saint Petersburg (Pulkovo),2011,1,1308.0
Saratov (central),2011,1,36.7
Sochi,2011,1,151.0
Stavropol (Shpakovskoye),2011,1,50.0
Surgut,2011,1,209.7
Syktyvkar,2011,1,48.0
Tiksi,2011,1,11.9
Tomsk (Bogashevo),2011,1,97.0
Tyumen (Roschino),2011,1,307.2
Ufa,2011,1,185.21
Khabarovsk (MVL),2011,1,24.04
Khabarovsk (New),2011,1,1097.97
Khanty-Mansiysk,2011,1,31.8
Khatanga,2011,1,103.42
Chelyabinsk (Balandino),2011,1,171.83
Reads (tub),2011,1,106.02
Yuzhno-(Khomutovo),2011,1,763.0
Yakutsk,2011,1,496.3
Yamburg,2011,1,5.36
Yaroslavl (Tunoshna),2011,1,471.8
Abakan,2010,1,35.1
Anapa (Vitjazevo),2010,1,14.62
Arkhangelsk (Talagy),2010,1,122.8
Astrakhan (Narimanovo),2010,1,55.41
Novy Urengoy,2010,1,15.5
Blagoveshchensk,2010,1,64.5
Bugulma,2010,1,2.08
Vladivostok (Knevichi),2010,1,1080.3
Volgograd (Gumrak),2010,1,60.0
Vorkuta,2010,1,38.84
Voronezh (Chertovitskoe),2010,1,10.34
Ekaterinburg (Koltsovo),2010,1,801.17
Ivanovo (Yuzhny),2010,1,5.6
Irkutsk,2010,1,636.33
Kazan,2010,1,160.66
Kemerovo,2010,1,213.24
Kogalym,2010,1,50.5
Komsomolsk-on-Amur,2010,1,99.0
Krasnodar (Paszkowski),2010,1,331.0
Krasnoyarsk (Emelyanovo),2010,1,441.47
red,2010,1,0.64
